"Row","Col","Sample","Plate"
NA,NA,NA,NA
"A","1","E0151","E0151-E0246"
"B","1","E0152","E0151-E0246"
"C","1","E0153","E0151-E0246"
"D","1","E0154","E0151-E0246"
"E","1","E0155","E0151-E0246"
"F","1","E0156","E0151-E0246"
"G","1","E0157","E0151-E0246"
"H","1","E0158","E0151-E0246"
"A","2","E0159","E0151-E0246"
"B","2","E0160","E0151-E0246"
"C","2","E0161","E0151-E0246"
"D","2","E0162","E0151-E0246"
"E","2","E0163","E0151-E0246"
"F","2","E0164","E0151-E0246"
"G","2","E0165","E0151-E0246"
"H","2","E0166","E0151-E0246"
"A","3","E0167","E0151-E0246"
"B","3","E0168","E0151-E0246"
"C","3","E0169","E0151-E0246"
"D","3","E0170","E0151-E0246"
"E","3","E0171","E0151-E0246"
"F","3","E0172","E0151-E0246"
"G","3","E0173","E0151-E0246"
"H","3","E0174","E0151-E0246"
"A","4","E0175","E0151-E0246"
"B","4","E0176","E0151-E0246"
"C","4","E0177","E0151-E0246"
"D","4","E0178","E0151-E0246"
"E","4","E0179","E0151-E0246"
"F","4","E0180","E0151-E0246"
"G","4","E0181","E0151-E0246"
"H","4","E0182","E0151-E0246"
"A","5","E0183","E0151-E0246"
"B","5","E0184","E0151-E0246"
"C","5","E0185","E0151-E0246"
"D","5","E0186","E0151-E0246"
"E","5","E0187","E0151-E0246"
"F","5","E0188","E0151-E0246"
"G","5","E0189","E0151-E0246"
"H","5","E0190","E0151-E0246"
"A","6","E0191","E0151-E0246"
"B","6","E0192","E0151-E0246"
"C","6","E0193","E0151-E0246"
"D","6","E0194","E0151-E0246"
"E","6","E0195","E0151-E0246"
"F","6","E0196","E0151-E0246"
"G","6","E0197","E0151-E0246"
"H","6","E0198","E0151-E0246"
"A","7","E0199","E0151-E0246"
"B","7","E0200","E0151-E0246"
"C","7","E0201","E0151-E0246"
"D","7","E0202","E0151-E0246"
"E","7","E0203","E0151-E0246"
"F","7","E0204","E0151-E0246"
"G","7","E0205","E0151-E0246"
"H","7","E0206","E0151-E0246"
"A","8","E0207","E0151-E0246"
"B","8","E0208","E0151-E0246"
"C","8","E0209","E0151-E0246"
"D","8","E0210","E0151-E0246"
"E","8","E0211","E0151-E0246"
"F","8","E0212","E0151-E0246"
"G","8","E0214","E0151-E0246"
"H","8","E0215","E0151-E0246"
"A","9","E0213","E0151-E0246"
"B","9","E0216","E0151-E0246"
"C","9","E0217","E0151-E0246"
"D","9","E0218","E0151-E0246"
"E","9","E0219","E0151-E0246"
"F","9","E0220","E0151-E0246"
"G","9","E0221","E0151-E0246"
"H","9","E0222","E0151-E0246"
"A","10","E0223","E0151-E0246"
"B","10","E0224","E0151-E0246"
"C","10","E0225","E0151-E0246"
"D","10","E0226","E0151-E0246"
"E","10","E0227","E0151-E0246"
"F","10","E0228","E0151-E0246"
"G","10","E0229","E0151-E0246"
"H","10","E0230","E0151-E0246"
"A","11","E0231","E0151-E0246"
"B","11","E0232","E0151-E0246"
"C","11","E0233","E0151-E0246"
"D","11","E0234","E0151-E0246"
"E","11","E0235","E0151-E0246"
"F","11","E0236","E0151-E0246"
"G","11","E0237","E0151-E0246"
"H","11","E0238","E0151-E0246"
"A","12","E0239","E0151-E0246"
"B","12","E0240","E0151-E0246"
"C","12","E0241","E0151-E0246"
"D","12","E0242","E0151-E0246"
"E","12","E0243","E0151-E0246"
"F","12","E0244","E0151-E0246"
"G","12","E0245","E0151-E0246"
"H","12","E0246","E0151-E0246"
"A","1","E0247","E0247-E0342"
"B","1","E0248","E0247-E0342"
"C","1","E0249","E0247-E0342"
"D","1","E0250","E0247-E0342"
"E","1","E0251","E0247-E0342"
"F","1","E0252","E0247-E0342"
"G","1","E0253","E0247-E0342"
"H","1","E0254","E0247-E0342"
"A","2","E0255","E0247-E0342"
"B","2","E0256","E0247-E0342"
"C","2","E0257","E0247-E0342"
"D","2","E0258","E0247-E0342"
"E","2","E0259","E0247-E0342"
"F","2","E0260","E0247-E0342"
"G","2","E0261","E0247-E0342"
"H","2","E0262","E0247-E0342"
"A","3","E0263","E0247-E0342"
"B","3","E0264","E0247-E0342"
"C","3","E0265","E0247-E0342"
"D","3","E0266","E0247-E0342"
"E","3","E0267","E0247-E0342"
"F","3","E0268","E0247-E0342"
"G","3","E0269","E0247-E0342"
"H","3","E0270","E0247-E0342"
"A","4","E0271","E0247-E0342"
"B","4","E0272","E0247-E0342"
"C","4","E0273","E0247-E0342"
"D","4","E0274","E0247-E0342"
"E","4","E0275","E0247-E0342"
"F","4","E0276","E0247-E0342"
"G","4","E0277","E0247-E0342"
"H","4","E0278","E0247-E0342"
"A","5","E0279","E0247-E0342"
"B","5","E0280","E0247-E0342"
"C","5","E0281","E0247-E0342"
"D","5","E0282","E0247-E0342"
"E","5","E0283","E0247-E0342"
"F","5","E0284","E0247-E0342"
"G","5","E0285","E0247-E0342"
"H","5","E0286","E0247-E0342"
"A","6","E0287","E0247-E0342"
"B","6","E0288","E0247-E0342"
"C","6","E0289","E0247-E0342"
"D","6","E0290","E0247-E0342"
"E","6","E0291","E0247-E0342"
"F","6","E0292","E0247-E0342"
"G","6","E0293","E0247-E0342"
"H","6","E0294","E0247-E0342"
"A","7","E0295","E0247-E0342"
"B","7","E0296","E0247-E0342"
"C","7","E0297","E0247-E0342"
"D","7","E0298","E0247-E0342"
"E","7","E0299","E0247-E0342"
"F","7","E0300","E0247-E0342"
"G","7","E0301","E0247-E0342"
"H","7","E0302","E0247-E0342"
"A","8","E0303","E0247-E0342"
"B","8","E0304","E0247-E0342"
"C","8","E0305","E0247-E0342"
"D","8","E0306","E0247-E0342"
"E","8","E0307","E0247-E0342"
"F","8","E0308","E0247-E0342"
"G","8","E0309","E0247-E0342"
"H","8","E0310","E0247-E0342"
"A","9","E0311","E0247-E0342"
"B","9","E0312","E0247-E0342"
"C","9","E0313","E0247-E0342"
"D","9","E0314","E0247-E0342"
"E","9","E0315","E0247-E0342"
"F","9","E0316","E0247-E0342"
"G","9","E0317","E0247-E0342"
"H","9","E0318","E0247-E0342"
"A","10","E0319","E0247-E0342"
"B","10","E0320","E0247-E0342"
"C","10","E0321","E0247-E0342"
"D","10","E0322","E0247-E0342"
"E","10","E0323","E0247-E0342"
"F","10","E0324","E0247-E0342"
"G","10","E0325","E0247-E0342"
"H","10","E0326","E0247-E0342"
"A","11","E0327","E0247-E0342"
"B","11","E0328","E0247-E0342"
"C","11","E0329","E0247-E0342"
"D","11","E0330","E0247-E0342"
"E","11","E0331","E0247-E0342"
"F","11","E0332","E0247-E0342"
"G","11","E0333","E0247-E0342"
"H","11","E0334","E0247-E0342"
"A","12","E0335","E0247-E0342"
"B","12","E0336","E0247-E0342"
"C","12","E0337","E0247-E0342"
"D","12","E0338","E0247-E0342"
"E","12","E0339","E0247-E0342"
"F","12","E0340","E0247-E0342"
"G","12","E0341","E0247-E0342"
"H","12","E0342","E0247-E0342"
"A","1","E0343","E0343-E0438"
"B","1","E0344","E0343-E0438"
"C","1","E0345","E0343-E0438"
"D","1","E0346","E0343-E0438"
"E","1","E0347","E0343-E0438"
"F","1","E0348","E0343-E0438"
"G","1","E0349","E0343-E0438"
"H","1","E0350","E0343-E0438"
"A","2","E0351","E0343-E0438"
"B","2","E0352","E0343-E0438"
"C","2","E0353","E0343-E0438"
"D","2","E0354","E0343-E0438"
"E","2","E0355","E0343-E0438"
"F","2","E0356","E0343-E0438"
"G","2","E0357","E0343-E0438"
"H","2","E0358","E0343-E0438"
"A","3","E0359","E0343-E0438"
"B","3","E0360","E0343-E0438"
"C","3","E0361","E0343-E0438"
"D","3","E0362","E0343-E0438"
"E","3","E0363","E0343-E0438"
"F","3","E0364","E0343-E0438"
"G","3","E0365","E0343-E0438"
"H","3","E0366","E0343-E0438"
"A","4","E0367","E0343-E0438"
"B","4","E0368","E0343-E0438"
"C","4","E0369","E0343-E0438"
"D","4","E0370","E0343-E0438"
"E","4","E0371","E0343-E0438"
"F","4","E0372","E0343-E0438"
"G","4","E0373","E0343-E0438"
"H","4","E0374","E0343-E0438"
"A","5","E0375","E0343-E0438"
"B","5","E0376","E0343-E0438"
"C","5","E0377","E0343-E0438"
"D","5","E0378","E0343-E0438"
"E","5","E0379","E0343-E0438"
"F","5","E0380","E0343-E0438"
"G","5","E0381","E0343-E0438"
"H","5","E0382","E0343-E0438"
"A","6","E0383","E0343-E0438"
"B","6","E0384","E0343-E0438"
"C","6","E0385","E0343-E0438"
"D","6","E0386","E0343-E0438"
"E","6","E0387","E0343-E0438"
"F","6","E0388","E0343-E0438"
"G","6","E0389","E0343-E0438"
"H","6","E0390","E0343-E0438"
"A","7","E0391","E0343-E0438"
"B","7","E0392","E0343-E0438"
"C","7","E0393","E0343-E0438"
"D","7","E0394","E0343-E0438"
"E","7","E0395","E0343-E0438"
"F","7","E0396","E0343-E0438"
"G","7","E0397","E0343-E0438"
"H","7","E0398","E0343-E0438"
"A","8","E0399","E0343-E0438"
"B","8","E0400","E0343-E0438"
"C","8","E0401","E0343-E0438"
"D","8","E0402","E0343-E0438"
"E","8","E0403","E0343-E0438"
"F","8","E0404","E0343-E0438"
"G","8","E0405","E0343-E0438"
"H","8","E0406","E0343-E0438"
"A","9","E0407","E0343-E0438"
"B","9","E0408","E0343-E0438"
"C","9","E0409","E0343-E0438"
"D","9","E0410","E0343-E0438"
"E","9","E0411","E0343-E0438"
"F","9","E0412","E0343-E0438"
"G","9","E0413","E0343-E0438"
"H","9","E0414","E0343-E0438"
"A","10","E0415","E0343-E0438"
"B","10","E0416","E0343-E0438"
"C","10","E0417","E0343-E0438"
"D","10","E0418","E0343-E0438"
"E","10","E0419","E0343-E0438"
"F","10","E0420","E0343-E0438"
"G","10","E0421","E0343-E0438"
"H","10","E0422","E0343-E0438"
"A","11","E0423","E0343-E0438"
"B","11","E0424","E0343-E0438"
"C","11","E0425","E0343-E0438"
"D","11","E0426","E0343-E0438"
"E","11","E0427","E0343-E0438"
"F","11","E0428","E0343-E0438"
"G","11","E0429","E0343-E0438"
"H","11","E0430","E0343-E0438"
"A","12","E0431","E0343-E0438"
"B","12","E0432","E0343-E0438"
"C","12","E0433","E0343-E0438"
"D","12","E0434","E0343-E0438"
"E","12","E0435","E0343-E0438"
"F","12","E0436","E0343-E0438"
"G","12","E0437","E0343-E0438"
"H","12","E0438","E0343-E0438"
"A","1","E0439","E0439-E0534"
"B","1","E0440","E0439-E0534"
"C","1","E0441","E0439-E0534"
"D","1","E0442","E0439-E0534"
"E","1","E0443","E0439-E0534"
"F","1","E0444","E0439-E0534"
"G","1","E0445","E0439-E0534"
"H","1","E0446","E0439-E0534"
"A","2","E0447","E0439-E0534"
"B","2","E0448","E0439-E0534"
"C","2","E0449","E0439-E0534"
"D","2","E0450","E0439-E0534"
"E","2","E0451","E0439-E0534"
"F","2","E0452","E0439-E0534"
"G","2","E0453","E0439-E0534"
"H","2","E0454","E0439-E0534"
"A","3","E0455","E0439-E0534"
"B","3","E0456","E0439-E0534"
"C","3","E0457","E0439-E0534"
"D","3","E0458","E0439-E0534"
"E","3","E0459","E0439-E0534"
"F","3","E0460","E0439-E0534"
"G","3","E0461","E0439-E0534"
"H","3","E0462","E0439-E0534"
"A","4","E0463","E0439-E0534"
"B","4","E0464","E0439-E0534"
"C","4","E0465","E0439-E0534"
"D","4","E0466","E0439-E0534"
"E","4","E0467","E0439-E0534"
"F","4","E0468","E0439-E0534"
"G","4","E0469","E0439-E0534"
"H","4","E0470","E0439-E0534"
"A","5","E0471","E0439-E0534"
"B","5","E0472","E0439-E0534"
"C","5","E0473","E0439-E0534"
"D","5","E0474","E0439-E0534"
"E","5","E0475","E0439-E0534"
"F","5","E0476","E0439-E0534"
"G","5","E0477","E0439-E0534"
"H","5","E0478","E0439-E0534"
"A","6","E0479","E0439-E0534"
"B","6","E0480","E0439-E0534"
"C","6","E0481","E0439-E0534"
"D","6","E0482","E0439-E0534"
"E","6","E0483","E0439-E0534"
"F","6","E0484","E0439-E0534"
"G","6","E0485","E0439-E0534"
"H","6","E0486","E0439-E0534"
"A","7","E0487","E0439-E0534"
"B","7","E0488","E0439-E0534"
"C","7","E0489","E0439-E0534"
"D","7","E0490","E0439-E0534"
"E","7","E0491","E0439-E0534"
"F","7","E0492","E0439-E0534"
"G","7","E0493","E0439-E0534"
"H","7","E0494","E0439-E0534"
"A","8","E0495","E0439-E0534"
"B","8","E0496","E0439-E0534"
"C","8","E0497","E0439-E0534"
"D","8","E0498","E0439-E0534"
"E","8","E0499","E0439-E0534"
"F","8","E0500","E0439-E0534"
"G","8","E0501","E0439-E0534"
"H","8","E0502","E0439-E0534"
"A","9","E0503","E0439-E0534"
"B","9","E0504","E0439-E0534"
"C","9","E0505","E0439-E0534"
"D","9","E0506","E0439-E0534"
"E","9","E0507","E0439-E0534"
"F","9","E0508","E0439-E0534"
"G","9","E0509","E0439-E0534"
"H","9","E0510","E0439-E0534"
"A","10","E0511","E0439-E0534"
"B","10","E0512","E0439-E0534"
"C","10","E0513","E0439-E0534"
"D","10","E0514","E0439-E0534"
"E","10","E0515","E0439-E0534"
"F","10","E0516","E0439-E0534"
"G","10","E0517","E0439-E0534"
"H","10","E0518","E0439-E0534"
"A","11","E0519","E0439-E0534"
"B","11","E0520","E0439-E0534"
"C","11","E0521","E0439-E0534"
"D","11","E0522","E0439-E0534"
"E","11","E0523","E0439-E0534"
"F","11","E0524","E0439-E0534"
"G","11","E0525","E0439-E0534"
"H","11","E0526","E0439-E0534"
"A","12","E0527","E0439-E0534"
"B","12","E0528","E0439-E0534"
"C","12","E0529","E0439-E0534"
"D","12","E0530","E0439-E0534"
"E","12","E0531","E0439-E0534"
"F","12","E0532","E0439-E0534"
"G","12","E0533","E0439-E0534"
"H","12","E0534","E0439-E0534"
"A","1","E0535","E0535-E0630"
"B","1","E0536","E0535-E0630"
"C","1","E0537","E0535-E0630"
"D","1","E0538","E0535-E0630"
"E","1","E0539","E0535-E0630"
"F","1","E0540","E0535-E0630"
"G","1","E0541","E0535-E0630"
"H","1","E0542","E0535-E0630"
"A","2","E0543","E0535-E0630"
"B","2","E0544","E0535-E0630"
"C","2","E0545","E0535-E0630"
"D","2","E0546","E0535-E0630"
"E","2","E0547","E0535-E0630"
"F","2","E0548","E0535-E0630"
"G","2","E0549","E0535-E0630"
"H","2","E0550","E0535-E0630"
"A","3","E0551","E0535-E0630"
"B","3","E0552","E0535-E0630"
"C","3","E0553","E0535-E0630"
"D","3","E0554","E0535-E0630"
"E","3","E0555","E0535-E0630"
"F","3","E0556","E0535-E0630"
"G","3","E0557","E0535-E0630"
"H","3","E0558","E0535-E0630"
"A","4","E0559","E0535-E0630"
"B","4","E0560","E0535-E0630"
"C","4","E0561","E0535-E0630"
"D","4","E0562","E0535-E0630"
"E","4","E0563","E0535-E0630"
"F","4","E0564","E0535-E0630"
"G","4","E0565","E0535-E0630"
"H","4","E0566","E0535-E0630"
"A","5","E0567","E0535-E0630"
"B","5","E0568","E0535-E0630"
"C","5","E0569","E0535-E0630"
"D","5","E0570","E0535-E0630"
"E","5","E0571","E0535-E0630"
